,Customer ID,Gender,Age,Under 30,Senior Citizen,Tenure in Months,Contract,Internet Service,Avg Monthly Long Distance Charges,Monthly Charge,Total Charges,Satisfaction Score,CLTV,Customer Status
17,7534-BFESC,Male,69,No,Yes,24,Month-to-Month,Yes,30.87,76.1,1712.7,2,2018,Churned
18,8098-LLAZX,Female,74,No,Yes,4,Month-to-Month,Yes,31.61,95.45,396.1,3,3677,Churned
19,0265-EDXBD,Male,76,No,Yes,32,Month-to-Month,Yes,47.34,74.9,2303.35,2,4105,Churned
20,2840-XANRC,Male,77,No,Yes,24,Month-to-Month,Yes,16.1,93.15,2231.05,2,2212,Churned
21,5020-ZSTTY,Female,70,No,Yes,54,One Year,Yes,12.08,82.45,4350.1,1,4149,Churned
22,5804-LEPIM,Female,74,No,Yes,2,Month-to-Month,Yes,13.17,70.35,139.05,3,2671,Churned
23,0623-IIHUG,Female,77,No,Yes,21,Month-to-Month,Yes,0.0,41.9,840.1,1,4778,Churned
24,9057-MSWCO,Male,71,No,Yes,27,Month-to-Month,Yes,0.0,30.75,805.1,1,2927,Churned
25,4895-TMWIR,Male,79,No,Yes,11,Month-to-Month,No,29.54,19.95,214.75,1,5888,Churned
26,0533-BNWKF,Female,66,No,Yes,55,Month-to-Month,Yes,42.82,85.45,4874.7,1,5502,Churned
27,0334-GDDSO,Male,77,No,Yes,3,Month-to-Month,Yes,9.22,81.35,233.7,1,2818,Churned
28,5564-NEMQO,Female,80,No,Yes,1,Month-to-Month,Yes,35.09,75.3,75.3,2,4902,Churned
29,6235-VDHOM,Female,77,No,Yes,5,Month-to-Month,Yes,0.0,28.45,131.05,2,4099,Churned
30,5609-CEBID,Female,77,No,Yes,20,Month-to-Month,Yes,48.73,94.1,1782.4,1,2666,Churned
31,5956-VKDTT,Female,72,No,Yes,5,Month-to-Month,Yes,45.76,74.35,334.8,1,5273,Churned
32,0257-ZESQC,Female,80,No,Yes,27,Month-to-Month,Yes,7.02,75.2,1929.35,1,4517,Churned
33,2865-TCHJW,Female,74,No,Yes,4,Month-to-Month,Yes,48.35,89.2,346.2,1,5808,Churned
34,5192-EBGOV,Female,68,No,Yes,1,Month-to-Month,Yes,45.81,85.7,85.7,1,4880,Churned
35,3419-SNJJD,Female,78,No,Yes,65,Month-to-Month,Yes,18.39,105.25,6786.4,1,4196,Churned
36,4554-YGZIH,Male,75,No,Yes,49,Month-to-Month,Yes,22.92,90.05,4547.25,2,5059,Churned
37,5099-BAILX,Male,77,No,Yes,43,Month-to-Month,Yes,14.52,110.75,4687.9,2,2728,Churned
38,4913-EHYUI,Male,80,No,Yes,56,One Year,Yes,48.8,104.55,5794.65,1,6268,Churned
39,1626-ERCMM,Male,75,No,Yes,20,Month-to-Month,Yes,5.31,94.55,1899.65,1,5604,Churned
40,5644-PDMZC,Female,69,No,Yes,2,Month-to-Month,Yes,47.47,89.5,161.5,2,2065,Churned
41,4160-AMJTL,Female,74,No,Yes,8,Month-to-Month,No,27.95,19.65,164.3,2,5432,Churned
42,0823-HSCDJ,Male,76,No,Yes,52,Month-to-Month,Yes,0.0,49.15,2550.9,2,5597,Churned
43,0067-DKWBL,Male,69,No,Yes,2,Month-to-Month,Yes,43.99,49.25,91.1,2,3475,Churned
44,5244-IRFIH,Male,72,No,Yes,33,Month-to-Month,Yes,27.78,94.5,3105.55,3,4333,Churned
45,2684-EIWEO,Female,69,No,Yes,30,Month-to-Month,Yes,45.88,91.7,2758.15,1,2482,Churned
46,6683-VLCTZ,Male,73,No,Yes,20,Month-to-Month,Yes,44.44,98.55,1842.8,3,5444,Churned
47,0691-IFBQW,Female,65,No,Yes,46,One Year,Yes,2.37,110.0,4874.8,1,2403,Churned
48,3643-AHCFP,Male,74,No,Yes,7,Month-to-Month,Yes,21.91,95.6,644.35,3,3265,Churned
49,9231-ZJYAM,Female,65,No,Yes,4,Month-to-Month,Yes,36.93,78.85,292.8,3,5301,Churned
50,0727-BMPLR,Female,66,No,Yes,55,One Year,Yes,37.38,100.0,5509.3,3,5679,Churned
51,0947-MUGVO,Male,71,No,Yes,20,Month-to-Month,Yes,5.37,73.65,1463.5,1,5849,Churned
52,0781-LKXBR,Male,65,No,Yes,9,Month-to-Month,Yes,48.71,100.5,918.6,1,4038,Churned
53,1907-UBQFC,Male,69,No,Yes,10,Month-to-Month,Yes,5.46,72.85,688.65,1,3189,Churned
54,6513-EECDB,Male,75,No,Yes,1,Month-to-Month,Yes,36.92,73.55,73.55,2,4369,Churned
55,7074-IEVOJ,Female,75,No,Yes,3,Month-to-Month,Yes,41.9,79.4,205.05,1,3501,Churned
56,4750-ZRXIU,Female,68,No,Yes,4,Month-to-Month,Yes,6.68,84.6,360.1,1,2467,Churned
57,7028-DVOIQ,Male,71,No,Yes,35,Month-to-Month,Yes,20.83,99.05,3395.8,1,2074,Churned
58,4208-UFFGW,Male,80,No,Yes,2,Month-to-Month,Yes,26.62,44.95,85.15,2,5900,Churned
59,9889-TMAHG,Male,66,No,Yes,8,Month-to-Month,Yes,11.57,100.3,832.35,1,5084,Churned
60,8919-FYFQZ,Male,73,No,Yes,44,Month-to-Month,Yes,0.0,30.35,1359.7,1,4829,Churned
61,6646-QVXLR,Male,77,No,Yes,62,One Year,Yes,7.11,103.75,6383.35,1,5052,Churned
62,9369-XFEHK,Female,76,No,Yes,33,Month-to-Month,Yes,33.19,80.6,2656.5,2,3601,Churned
63,1374-DMZUI,Female,65,No,Yes,4,Month-to-Month,Yes,49.5,94.3,424.45,2,5419,Churned
64,1989-PRJHP,Male,75,No,Yes,27,Month-to-Month,Yes,10.6,75.5,1893.95,1,2377,Churned
65,4822-RVYBB,Male,75,No,Yes,8,Month-to-Month,Yes,40.45,100.6,819.4,1,5906,Churned
66,4184-TJFAN,Female,68,No,Yes,3,Month-to-Month,Yes,25.77,88.3,273.75,1,4486,Churned
67,4145-UQXUQ,Female,71,No,Yes,8,Month-to-Month,Yes,42.93,92.1,729.95,1,5662,Churned
68,1236-WFCDV,Male,74,No,Yes,14,Month-to-Month,Yes,11.31,90.45,1266.1,3,4777,Churned
69,1271-SJBGZ,Male,77,No,Yes,12,Month-to-Month,Yes,0.0,43.65,526.95,1,2437,Churned
70,4441-NIHPT,Female,73,No,Yes,13,Month-to-Month,Yes,40.37,74.3,940.35,1,2995,Churned
71,8999-BOHSE,Female,68,No,Yes,11,Month-to-Month,Yes,3.96,89.7,1047.7,2,2202,Churned
72,7029-RPUAV,Male,74,No,Yes,17,Month-to-Month,Yes,28.18,100.45,1622.45,3,5508,Churned
73,8111-SLLHI,Male,65,No,Yes,39,Month-to-Month,Yes,33.25,105.65,4284.8,3,4687,Churned
74,5293-WXJAK,Female,73,No,Yes,11,Month-to-Month,Yes,17.25,104.05,1133.65,3,4553,Churned
75,4086-YQSNZ,Female,74,No,Yes,3,Month-to-Month,Yes,3.29,80.4,224.05,2,3834,Churned
76,8399-YNDCH,Male,80,No,Yes,21,Month-to-Month,Yes,34.62,60.05,1236.15,1,4716,Churned
77,5565-FILXA,Female,76,No,Yes,16,Month-to-Month,Yes,38.75,96.15,1529.2,2,5913,Churned
78,4187-CINZD,Female,73,No,Yes,46,One Year,Yes,6.13,95.25,4424.2,2,3180,Churned
79,6818-WOBHJ,Female,70,No,Yes,68,Month-to-Month,Yes,24.13,89.6,6127.6,1,5651,Churned
80,9134-CEQMF,Male,75,No,Yes,7,Month-to-Month,Yes,13.63,89.5,676.7,2,3077,Churned
81,8519-IMDHU,Male,74,No,Yes,15,Month-to-Month,Yes,45.25,85.6,1345.55,1,4981,Churned
82,3372-KWFBM,Male,76,No,Yes,16,Month-to-Month,Yes,19.18,86.6,1281.0,3,2508,Churned
83,7206-GZCDC,Female,75,No,Yes,1,Month-to-Month,Yes,29.68,69.25,69.25,2,4371,Churned
84,1768-ZAIFU,Female,74,No,Yes,1,Month-to-Month,Yes,0.0,25.2,25.2,1,5688,Churned
85,3793-MMFUH,Female,73,No,Yes,13,Month-to-Month,Yes,19.03,95.05,1290.0,1,2230,Churned
86,6567-HOOPW,Female,69,No,Yes,1,Month-to-Month,Yes,20.06,79.2,79.2,3,4363,Churned
87,8621-MNIHH,Female,75,No,Yes,34,Month-to-Month,Yes,2.88,94.25,3217.55,1,3369,Churned
88,5419-CONWX,Female,65,No,Yes,4,Month-to-Month,Yes,12.68,99.8,442.85,1,2268,Churned
89,7024-OHCCK,Female,77,No,Yes,2,Month-to-Month,Yes,19.27,93.85,170.85,3,4193,Churned
90,5357-TZHPP,Male,67,No,Yes,9,Month-to-Month,Yes,30.8,84.4,732.5,2,5745,Churned
91,0506-LVNGN,Female,78,No,Yes,5,Month-to-Month,Yes,42.33,75.55,349.65,1,4028,Churned
92,9809-IMGCQ,Male,65,No,Yes,22,Month-to-Month,Yes,40.18,96.7,2082.95,1,4458,Churned
93,3254-YRILK,Male,74,No,Yes,19,Month-to-Month,Yes,39.97,88.2,1775.8,1,5683,Churned
94,0529-ONKER,Male,70,No,Yes,15,Month-to-Month,Yes,46.38,75.65,1146.65,3,2099,Churned
95,5240-IJOQT,Male,69,No,Yes,1,Month-to-Month,Yes,11.34,74.7,74.7,1,3348,Churned
96,0661-XEYAN,Female,76,No,Yes,1,Month-to-Month,Yes,0.0,25.8,25.8,1,3884,Churned
97,2660-EMUBI,Male,71,No,Yes,10,Month-to-Month,Yes,41.37,95.35,898.35,1,5353,Churned
98,7675-OZCZG,Female,76,No,Yes,3,Month-to-Month,Yes,30.14,45.0,127.1,3,4145,Churned
99,9391-EOYLI,Male,77,No,Yes,12,Month-to-Month,Yes,6.97,80.45,950.2,2,5374,Churned
100,2761-OCIAX,Male,74,No,Yes,2,Month-to-Month,Yes,6.51,74.7,165.4,2,2803,Churned
101,3068-OMWZA,Male,77,No,Yes,1,Month-to-Month,Yes,49.6,88.8,88.8,1,3106,Churned
102,4154-AQUGT,Male,76,No,Yes,13,Month-to-Month,Yes,1.47,89.05,1169.35,1,3861,Churned
103,8017-LXHFA,Female,77,No,Yes,23,Month-to-Month,Yes,31.17,94.75,2293.6,2,2740,Churned
104,4248-QPAVC,Female,80,No,Yes,17,Month-to-Month,Yes,36.82,85.35,1463.45,1,3209,Churned
105,4690-LLKUA,Male,68,No,Yes,17,Month-to-Month,Yes,40.93,45.05,770.6,1,3797,Churned
106,9490-DFPMD,Female,79,No,Yes,42,Month-to-Month,Yes,9.53,84.65,3541.35,2,4871,Churned
107,8580-AECUZ,Male,65,No,Yes,1,Month-to-Month,Yes,42.3,79.1,79.1,3,5001,Churned
108,5047-LHVLY,Male,68,No,Yes,1,Month-to-Month,Yes,39.78,50.15,50.15,2,3438,Churned
109,8375-DKEBR,Female,72,No,Yes,1,Month-to-Month,Yes,34.51,69.6,69.6,1,3438,Churned
110,7279-BUYWN,Female,66,No,Yes,41,Month-to-Month,Yes,27.95,113.2,4689.5,1,3380,Churned
111,7156-MHUGY,Male,68,No,Yes,13,Month-to-Month,Yes,26.11,90.5,1201.15,1,5394,Churned
112,9606-PBKBQ,Male,69,No,Yes,32,Month-to-Month,Yes,5.99,85.0,2642.05,1,4584,Churned
113,3536-IQCTX,Male,76,No,Yes,32,Month-to-Month,Yes,49.6,85.3,2661.1,1,2712,Churned
114,3132-TVFDZ,Male,70,No,Yes,57,Month-to-Month,Yes,0.0,44.85,2572.95,2,5172,Churned
115,8080-DDEMJ,Male,71,No,Yes,1,Month-to-Month,Yes,15.28,45.1,45.1,2,4499,Churned
116,6702-OHFWR,Male,75,No,Yes,1,Month-to-Month,Yes,0.0,43.3,43.3,3,4972,Churned
117,4510-PYUSH,Female,67,No,Yes,38,Month-to-Month,Yes,26.1,57.15,2250.65,1,3110,Churned
118,8840-DQLGN,Female,65,No,Yes,35,Month-to-Month,Yes,15.98,100.5,3653.35,1,4745,Churned
119,4193-ORFCL,Female,80,No,Yes,1,Month-to-Month,Yes,15.24,45.1,45.1,1,2740,Churned
120,7776-QWNFX,Male,71,No,Yes,30,Month-to-Month,Yes,4.65,50.4,1527.5,3,4795,Churned
121,6689-TCZHQ,Female,70,No,Yes,5,Month-to-Month,Yes,12.27,78.95,378.4,3,4054,Churned
122,9497-QCMMS,Male,73,No,Yes,1,Month-to-Month,Yes,30.17,93.55,93.55,1,5536,Churned
123,3424-NMNBO,Male,78,No,Yes,58,One Year,Yes,49.38,108.85,6287.25,1,4739,Churned
124,4514-GFCFI,Female,76,No,Yes,16,Month-to-Month,Yes,17.51,84.75,1350.15,2,5136,Churned
125,8000-REIQB,Female,73,No,Yes,1,Month-to-Month,Yes,22.5,69.95,69.95,2,3208,Churned
126,4795-KTRTH,Female,68,No,Yes,5,Month-to-Month,Yes,47.28,81.0,371.65,1,4287,Churned
127,9961-JBNMK,Male,79,No,Yes,21,Month-to-Month,Yes,42.27,96.8,2030.3,1,4317,Churned
128,6179-GJPSO,Female,67,No,Yes,43,Month-to-Month,Yes,31.83,108.15,4600.7,1,2833,Churned
129,8290-YWKHZ,Female,69,No,Yes,32,Month-to-Month,Yes,33.74,93.2,2931.0,3,5247,Churned
130,8051-HJRLT,Female,72,No,Yes,1,Month-to-Month,Yes,18.2,70.55,70.55,3,2146,Churned
131,4021-RQSNY,Male,75,No,Yes,29,Month-to-Month,Yes,25.78,98.5,3004.15,3,5137,Churned
132,9061-TIHDA,Male,67,No,Yes,13,Month-to-Month,Yes,31.7,95.25,1233.65,1,2982,Churned
133,8699-ASUFO,Male,72,No,Yes,7,Month-to-Month,Yes,8.92,74.4,527.9,3,4969,Churned
134,4695-WJZUE,Female,68,No,Yes,2,Month-to-Month,Yes,21.57,88.55,179.25,1,3685,Churned
135,3988-RQIXO,Female,68,No,Yes,1,Month-to-Month,Yes,43.61,91.3,91.3,3,2371,Churned
136,5931-FLJJF,Male,75,No,Yes,7,Month-to-Month,Yes,16.05,70.1,467.55,2,3669,Churned
137,3207-OYBWH,Male,74,No,Yes,57,Month-to-Month,Yes,49.91,95.25,5427.05,2,6259,Churned
138,7216-EWTRS,Female,78,No,Yes,1,Month-to-Month,Yes,17.35,100.8,100.8,1,3128,Churned
139,2528-HFYZX,Male,66,No,Yes,17,Month-to-Month,Yes,1.05,76.45,1233.4,1,3266,Churned
140,4140-MUHUG,Female,73,No,Yes,3,Month-to-Month,Yes,18.38,86.85,220.95,2,3561,Churned
141,1587-FKLZB,Male,79,No,Yes,66,Month-to-Month,Yes,28.86,99.5,6822.15,1,4479,Churned
142,5440-FLBQG,Male,69,No,Yes,69,Two Year,Yes,48.88,108.4,7318.2,3,4708,Churned
143,2774-LVQUS,Female,65,No,Yes,15,Month-to-Month,Yes,44.13,83.05,1258.3,3,2596,Churned
144,4612-THJBS,Female,68,No,Yes,56,One Year,Yes,34.58,104.75,5510.65,3,5605,Churned
145,4094-NSEDU,Female,79,No,Yes,21,Month-to-Month,Yes,21.15,94.25,1973.75,2,4819,Churned
146,1846-XWOQN,Female,80,No,Yes,1,Month-to-Month,Yes,47.97,70.15,70.15,2,2825,Churned
147,3757-NJYBX,Male,77,No,Yes,32,Month-to-Month,Yes,7.92,106.35,3520.75,2,4113,Churned
148,9898-KZQDZ,Female,65,No,Yes,40,Month-to-Month,Yes,49.5,94.55,3640.45,1,5676,Churned
149,8263-JQAIK,Male,66,No,Yes,2,Month-to-Month,Yes,0.0,24.45,47.5,3,5573,Churned
150,2205-YMZZJ,Male,75,No,Yes,7,Month-to-Month,Yes,39.51,84.8,546.95,3,2015,Churned
151,1254-IZEYF,Female,74,No,Yes,31,Month-to-Month,Yes,39.36,99.95,3186.65,3,5362,Churned
152,9221-OTIVJ,Female,80,No,Yes,14,Month-to-Month,Yes,29.96,104.85,1531.4,1,2292,Churned
153,5908-QMGOE,Male,74,No,Yes,15,Month-to-Month,Yes,23.53,74.2,1133.9,1,4553,Churned
154,0397-GZBBC,Male,70,No,Yes,59,Month-to-Month,Yes,10.78,93.85,5574.75,2,5390,Churned
155,7641-EUYET,Male,76,No,Yes,46,Month-to-Month,Yes,49.11,100.7,4541.2,1,5712,Churned
156,8922-LIEGH,Female,72,No,Yes,25,Month-to-Month,Yes,36.36,89.7,2187.55,3,4078,Churned
157,8245-UMPYT,Female,66,No,Yes,16,Month-to-Month,Yes,32.11,96.4,1581.2,3,2688,Churned
158,5186-SAMNZ,Male,75,No,Yes,1,Month-to-Month,Yes,41.2,69.5,69.5,2,3273,Churned
159,5373-SFODM,Male,65,No,Yes,36,Month-to-Month,Yes,24.54,85.25,3132.75,2,3041,Churned
160,0022-TCJCI,Male,79,No,Yes,45,One Year,Yes,10.67,62.7,2791.5,1,2654,Churned
161,5130-IEKQT,Male,73,No,Yes,25,Month-to-Month,Yes,46.34,105.95,2655.25,2,4283,Churned
162,3269-ATYWD,Male,79,No,Yes,39,Month-to-Month,Yes,41.93,95.65,3759.05,1,4892,Churned
163,0354-WYROK,Female,70,No,Yes,31,Month-to-Month,Yes,47.95,98.9,2911.3,2,4050,Churned
164,7576-OYWBN,Male,71,No,Yes,3,Month-to-Month,Yes,30.25,76.05,231.8,1,2930,Churned
165,5539-TMZLF,Male,69,No,Yes,1,Month-to-Month,Yes,33.84,69.75,69.75,1,5057,Churned
166,3336-JORSO,Female,70,No,Yes,33,Month-to-Month,Yes,17.24,110.45,3655.45,1,3401,Churned
167,6861-XWTWQ,Male,71,No,Yes,7,Month-to-Month,Yes,42.92,99.25,665.45,2,2487,Churned
168,4283-FUTGF,Male,67,No,Yes,19,Month-to-Month,Yes,16.78,79.85,1471.75,3,3715,Churned
169,2397-BRLOM,Male,67,No,Yes,8,Month-to-Month,Yes,26.99,80.45,583.45,1,3443,Churned
170,8510-AWCXC,Female,69,No,Yes,13,Month-to-Month,Yes,7.22,100.8,1308.1,1,3269,Churned
171,8225-BTJAU,Male,75,No,Yes,10,Month-to-Month,Yes,7.51,79.25,793.55,1,3856,Churned
172,1724-BQUHA,Male,67,No,Yes,5,Month-to-Month,Yes,45.72,89.5,477.7,2,2718,Churned
173,4826-XTSOH,Male,66,No,Yes,1,Month-to-Month,Yes,38.78,86.05,86.05,1,4843,Churned
174,2408-WITXK,Female,67,No,Yes,10,Month-to-Month,Yes,0.0,34.7,329.8,1,3244,Churned
175,2634-HCZGT,Male,71,No,Yes,53,One Year,Yes,21.67,60.05,3229.65,1,5271,Churned
176,7503-QQRVF,Male,74,No,Yes,16,Month-to-Month,Yes,26.12,74.3,1178.25,1,2076,Churned
177,0709-TVGUR,Female,70,No,Yes,9,Month-to-Month,Yes,17.56,74.55,622.9,1,3145,Churned
178,3001-CBHLQ,Male,76,No,Yes,32,Month-to-Month,Yes,43.51,104.9,3351.55,1,3966,Churned
179,4102-OQUPX,Male,67,No,Yes,1,Month-to-Month,Yes,17.36,74.4,74.4,3,5429,Churned
180,3999-QGRJH,Male,80,No,Yes,8,Month-to-Month,Yes,14.89,69.7,560.85,1,3068,Churned
181,2454-RPBRZ,Female,67,No,Yes,12,Month-to-Month,Yes,30.63,98.1,1060.2,3,2709,Churned
182,2265-CYWIV,Female,68,No,Yes,4,Month-to-Month,Yes,18.91,99.6,347.65,1,4708,Churned
183,4550-VBOFE,Male,69,No,Yes,70,Month-to-Month,Yes,17.45,102.95,7101.5,1,5005,Churned
184,7409-KIUTL,Female,80,No,Yes,1,Month-to-Month,Yes,28.64,71.0,71.0,3,5345,Churned
185,1732-VHUBQ,Female,73,No,Yes,47,Month-to-Month,Yes,26.95,70.55,3309.25,3,4457,Churned
186,0679-IDSTG,Female,73,No,Yes,1,Month-to-Month,Yes,37.3,69.25,69.25,1,4568,Churned
187,8802-UNOJF,Male,65,No,Yes,12,Month-to-Month,Yes,28.63,83.8,1029.75,1,5565,Churned
188,6313-GIDIT,Male,73,No,Yes,53,Month-to-Month,Yes,0.0,54.45,2854.55,2,6280,Churned
189,2845-AFFTX,Male,78,No,Yes,41,Month-to-Month,Yes,22.56,99.8,4259.3,1,4726,Churned
190,2815-CPTUL,Male,68,No,Yes,5,Month-to-Month,Yes,2.27,70.25,331.9,2,3684,Churned
191,1891-FZYSA,Male,65,No,Yes,69,Month-to-Month,Yes,16.34,89.95,6143.15,1,6363,Churned
192,9685-WKZGT,Male,67,No,Yes,14,Month-to-Month,Yes,16.32,74.95,1036.75,3,2075,Churned
193,6022-UGGSO,Female,70,No,Yes,32,Month-to-Month,Yes,33.22,74.4,2276.95,1,2091,Churned
194,3923-CSIHK,Female,69,No,Yes,50,Month-to-Month,Yes,4.6,71.05,3444.85,3,5746,Churned
195,3677-IYRBF,Female,73,No,Yes,2,Month-to-Month,Yes,0.0,30.4,78.65,1,4002,Churned
196,8118-LSUEL,Male,74,No,Yes,23,Month-to-Month,Yes,17.62,106.4,2483.5,1,5507,Churned
197,5277-ZLOOR,Female,78,No,Yes,2,Month-to-Month,Yes,5.49,85.55,187.45,3,5512,Churned
198,4248-HCETZ,Male,77,No,Yes,30,Month-to-Month,Yes,6.23,79.65,2365.15,3,2174,Churned
199,9174-FKWZE,Female,70,No,Yes,1,Month-to-Month,No,22.92,19.45,19.45,1,3848,Churned
200,5307-DZCVC,Female,78,No,Yes,32,Month-to-Month,Yes,48.95,85.95,2628.6,3,2431,Churned
201,8679-JOEVF,Female,75,No,Yes,16,Month-to-Month,Yes,36.83,59.4,1023.9,1,5556,Churned
202,4803-AXVYP,Female,75,No,Yes,38,Month-to-Month,Yes,47.39,99.55,3734.25,1,3474,Churned
203,5649-ANRML,Male,76,No,Yes,2,Month-to-Month,Yes,12.96,95.1,180.25,3,4486,Churned
204,7395-IGJOS,Male,70,No,Yes,17,Month-to-Month,Yes,9.5,81.5,1329.2,2,3443,Churned
205,7890-VYYWG,Male,67,No,Yes,3,Month-to-Month,Yes,0.0,36.45,93.7,1,3766,Churned
206,9907-SWKKF,Female,69,No,Yes,1,Month-to-Month,Yes,0.0,25.05,25.05,1,4842,Churned
207,6397-JNZZG,Female,70,No,Yes,43,Month-to-Month,Yes,0.0,55.55,2342.2,1,2573,Churned
208,7779-LGOVN,Male,74,No,Yes,10,Month-to-Month,Yes,46.5,86.65,856.65,1,4990,Churned
209,9710-ZUSHQ,Female,77,No,Yes,37,Month-to-Month,Yes,41.85,106.75,4056.75,1,5849,Churned
210,3902-FOIGH,Male,66,No,Yes,12,Month-to-Month,Yes,48.5,101.35,1218.55,1,3967,Churned
211,3318-OSATS,Male,70,No,Yes,35,Month-to-Month,Yes,35.1,95.45,3474.05,2,2080,Churned
212,2636-ALXXZ,Female,68,No,Yes,1,Month-to-Month,Yes,45.8,69.6,69.6,2,2151,Churned
213,9885-CSMWE,Female,65,No,Yes,1,Month-to-Month,Yes,18.37,78.45,78.45,1,2139,Churned
214,8058-JMEQO,Female,76,No,Yes,9,Month-to-Month,Yes,12.91,84.45,762.5,3,3543,Churned
215,7657-DYEPJ,Male,73,No,Yes,38,One Year,Yes,5.75,70.15,2497.35,3,2645,Churned
216,8276-MQBYC,Male,70,No,Yes,51,Month-to-Month,Yes,19.49,97.8,4913.3,2,6204,Churned
217,6015-VVHHE,Female,68,No,Yes,5,Month-to-Month,Yes,41.83,83.15,446.05,3,2516,Churned
218,2516-VQRRV,Female,77,No,Yes,2,Month-to-Month,Yes,23.46,75.45,158.4,3,3350,Churned
219,7580-UGXNC,Female,73,No,Yes,2,Month-to-Month,Yes,25.74,54.85,104.2,1,3016,Churned
220,5178-LMXOP,Male,71,No,Yes,1,Month-to-Month,Yes,4.89,95.1,95.1,1,5795,Churned
221,7056-IMHCC,Male,69,No,Yes,53,Month-to-Month,Yes,7.94,101.9,5549.4,1,5884,Churned
222,8749-JMNKX,Male,80,No,Yes,51,Month-to-Month,Yes,22.14,93.8,4750.95,1,4788,Churned
223,0917-EZOLA,Male,66,No,Yes,72,Two Year,Yes,6.03,104.15,7689.95,3,5925,Churned
224,8414-MYSHR,Male,79,No,Yes,5,Month-to-Month,Yes,4.59,91.4,449.75,1,2834,Churned
225,4988-IQIGL,Male,80,No,Yes,1,Month-to-Month,Yes,28.49,75.35,75.35,3,4403,Churned
226,4706-AXVKM,Female,78,No,Yes,11,Month-to-Month,Yes,4.1,84.8,906.85,2,5118,Churned
227,5889-JTMUL,Female,67,No,Yes,50,Month-to-Month,Yes,31.56,95.05,4888.7,3,5863,Churned
228,9026-RNUJS,Male,73,No,Yes,5,Month-to-Month,Yes,18.69,50.35,237.25,1,4618,Churned
229,1624-NALOJ,Male,75,No,Yes,5,Month-to-Month,Yes,36.36,89.8,502.6,1,2960,Churned
230,6210-KBBPI,Male,67,No,Yes,9,Month-to-Month,Yes,10.66,99.45,919.4,1,2313,Churned
231,2260-USTRB,Female,75,No,Yes,2,Month-to-Month,Yes,9.55,70.2,115.95,1,2767,Churned
232,8623-TMRBY,Male,80,No,Yes,51,Month-to-Month,Yes,43.58,84.2,4146.05,2,6245,Churned
233,6900-PXRMS,Male,72,No,Yes,26,Month-to-Month,Yes,1.26,105.75,2710.25,1,3157,Churned
234,3346-BRMIS,Female,70,No,Yes,18,Month-to-Month,Yes,0.0,48.35,810.7,2,2167,Churned
235,2722-JMONI,Female,73,No,Yes,1,Month-to-Month,Yes,24.24,49.55,49.55,1,4989,Churned
236,7579-OOPEC,Female,75,No,Yes,2,Month-to-Month,Yes,6.86,50.15,115.1,1,5461,Churned
237,1771-OADNZ,Male,70,No,Yes,29,Month-to-Month,Yes,35.38,95.9,2745.2,3,2151,Churned
238,0612-RTZZA,Female,77,No,Yes,1,Month-to-Month,Yes,0.0,25.25,25.25,2,4628,Churned
239,4433-JCGCG,Male,80,No,Yes,46,Month-to-Month,Yes,5.36,101.0,4680.05,1,2436,Churned
